Antibiotic,true_salt,PAST number,Source plate name,Source well,Destination plate name,Destination well,cond,galenique,solvent,theo_transf_vol_nL,transf_vol_nL,compens_dmso_nL,MIC (uM),xMIC,Target Concentration (uM),conc_from,conc_from_mm,ratio_reel_theo
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240703_plate4,F3,Gepotidacin_5MIC,in 1mM DMSO,DMSO,222.955498082582,222.5,267.5,0.446,5,2.22955498082582,1mM,1,0.997957000000003
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240703_plate4,H5,Kanamycin_0.5MIC,in 10mM Water,Water,5.15997,5,0,1.031994,0.5,0.515997,10mM,10,0.96899788177063
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240703_plate4,D11,Kanamycin_10MIC,in 10mM Water,Water,103.1994,102.5,0,1.031994,10,10.31994,10mM,10,0.993222828814896
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240703_plate4,C5,Kanamycin_1MIC,in 10mM Water,Water,10.31994,10,0,1.031994,1,1.031994,10mM,10,0.96899788177063
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240703_plate4,F4,Kanamycin_5MIC,in 10mM Water,Water,51.5997,52.5,0,1.031994,5,5.15997,10mM,10,1.01744777585916
Linezolid,"No Salt, free base or acid",PAST-0000076-003,Selleckchem-L3800-01,K8,96w_22atb_240703_plate4,G11,Linezolid_0.5MIC,in 10mM DMSO,DMSO,14.8214021046391,15,475,2.96428042092782,0.5,1.48214021046391,10mM,10,1.01205
Linezolid,"No Salt, free base or acid",PAST-0000076-003,Selleckchem-L3800-01,K8,96w_22atb_240703_plate4,C9,Linezolid_10MIC,in 10mM DMSO,DMSO,296.428042092782,297.5,192.5,2.96428042092782,10,29.6428042092782,10mM,10,1.00361625
Linezolid,"No Salt, free base or acid",PAST-0000076-003,Selleckchem-L3800-01,K8,96w_22atb_240703_plate4,F12,Linezolid_1MIC,in 10mM DMSO,DMSO,29.6428042092782,30,460,2.96428042092782,1,2.96428042092782,10mM,10,1.01205
Linezolid,"No Salt, free base or acid",PAST-0000076-003,Selleckchem-L3800-01,K8,96w_22atb_240703_plate4,C2,Linezolid_5MIC,in 10mM DMSO,DMSO,148.214021046391,147.5,342.5,2.96428042092782,5,14.8214021046391,10mM,10,0.9951825
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,master plate,NA,96w_22atb_240703_plate4,D8,Moxifloxacin_0.5MIC,in 1mM DMSO,DMSO,14.9465287932422,15,475,0.298930575864844,0.5,0.149465287932422,1mM,1,1.0035775
