Antibiotic,true_salt,PAST number,Source plate name,Source well,Destination plate name,Destination well,cond,cond_original,galenique,solvent,theo_transf_vol_nL,transf_vol_nL,compens_dmso_nL,compens_water_nL,MIC (uM),xMIC,Target Concentration (uM),conc_from,conc_from_mm,ratio_reel_theo
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240710_plate5,H8,Gepotidacin_0.5MIC,Gepotidacin_0.5MIC,in 1mM DMSO,DMSO,22.2955498082582,22.5,477.5,NA,0.446,0.5,0.222955498082582,1mM,1,1.00917
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240710_plate5,E7,Gepotidacin_10MIC,Gepotidacin_10MIC,in 1mM DMSO,DMSO,445.910996165165,445,55,NA,0.446,10,4.45910996165165,1mM,1,0.997957000000001
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240710_plate5,B12,Gepotidacin_1MIC,Gepotidacin_1MIC,in 1mM DMSO,DMSO,44.5910996165165,45,455,NA,0.446,1,0.445910996165165,1mM,1,1.00917
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240710_plate5,C9,Gepotidacin_5MIC,Gepotidacin_5MIC,in 1mM DMSO,DMSO,222.955498082582,222.5,277.5,NA,0.446,5,2.22955498082582,1mM,1,0.997957000000003
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240710_plate5,G6,Kanamycin_0.5MIC_FDA,Kanamycin_0.5MIC_FDA,in 10mM Water,Water,5.15997,5,NA,495,1.031994,0.5,0.515997,10mM,10,0.96899788177063
Kanamycin,NA,NA,master plate,tube #12,96w_22atb_240710_plate5,F8,Kanamycin_0.5MIC_lab,Kanamycin_0.5MIC_lab,in 0.1mgmL Water,Water,NA,250,NA,250,1.031994,0.5,0.515997,0.1mgmL,NA,NA
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240710_plate5,C8,Kanamycin_10MIC_FDA,Kanamycin_10MIC_FDA,in 10mM Water,Water,103.1994,102.5,NA,397.5,1.031994,10,10.31994,10mM,10,0.993222828814896
Kanamycin,NA,NA,master plate,tube #11,96w_22atb_240710_plate5,F11,Kanamycin_10MIC_lab,Kanamycin_10MIC_lab,in 1mgmL Water,Water,NA,500,NA,0,1.031994,10,10.31994,1mgmL,NA,NA
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240710_plate5,H12,Kanamycin_1MIC_FDA,Kanamycin_1MIC_FDA,in 10mM Water,Water,10.31994,10,NA,490,1.031994,1,1.031994,10mM,10,0.96899788177063
Kanamycin,NA,NA,master plate,tube #12,96w_22atb_240710_plate5,E9,Kanamycin_1MIC_lab,Kanamycin_1MIC_lab,in 0.1mgmL Water,Water,NA,500,NA,0,1.031994,1,1.031994,0.1mgmL,NA,NA
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240710_plate5,F4,Kanamycin_5MIC_FDA,Kanamycin_5MIC_FDA,in 10mM Water,Water,51.5997,52.5,NA,447.5,1.031994,5,5.15997,10mM,10,1.01744777585916
Kanamycin,NA,NA,master plate,tube #11,96w_22atb_240710_plate5,D8,Kanamycin_5MIC_lab,Kanamycin_5MIC_lab,in 1mgmL Water,Water,NA,250,NA,250,1.031994,5,5.15997,1mgmL,NA,NA
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,master plate,NA,96w_22atb_240710_plate5,H7,Moxifloxacin_0.5MIC_FDA,Moxifloxacin_0.5MIC_FDA,in 1mM DMSO,DMSO,14.9465287932422,15,485,NA,0.298930575864844,0.5,0.149465287932422,1mM,1,1.0035775
Moxifloxacin,NA,NA,master plate,tube #14,96w_22atb_240710_plate5,B3,Moxifloxacin_0.5MIC_lab,Moxifloxacin_0.5MIC_lab,in 0.024mgmL DMSO,DMSO,NA,250,250,NA,0.298930575864844,0.5,0.149465287932422,0.024mgmL,NA,NA
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,Selleckchem-L3800-07,G19,96w_22atb_240710_plate5,G8,Moxifloxacin_10MIC_FDA,Moxifloxacin_10MIC_FDA,in 10mM DMSO,DMSO,29.8930575864844,30,470,NA,0.298930575864844,10,2.98930575864844,10mM,10,1.0035775
Moxifloxacin,NA,NA,master plate,tube #13,96w_22atb_240710_plate5,F9,Moxifloxacin_10MIC_lab,Moxifloxacin_10MIC_lab,in 0.24mgmL DMSO,DMSO,NA,500,0,NA,0.298930575864844,10,2.98930575864844,0.24mgmL,NA,NA
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,Selleckchem-L3800-07,G19,96w_22atb_240710_plate5,A10,Moxifloxacin_1MIC_FDA,Moxifloxacin_1MIC_FDA,in 10mM DMSO,DMSO,2.98930575864844,2.5,497.5,NA,0.298930575864844,1,0.298930575864844,10mM,10,0.836314583333332
Moxifloxacin,NA,NA,master plate,tube #14,96w_22atb_240710_plate5,G10,Moxifloxacin_1MIC_lab,Moxifloxacin_1MIC_lab,in 0.024mgmL DMSO,DMSO,NA,500,0,NA,0.298930575864844,1,0.298930575864844,0.024mgmL,NA,NA
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,Selleckchem-L3800-07,G19,96w_22atb_240710_plate5,E2,Moxifloxacin_5MIC_FDA,Moxifloxacin_5MIC_FDA,in 10mM DMSO,DMSO,14.9465287932422,15,485,NA,0.298930575864844,5,1.49465287932422,10mM,10,1.0035775
Moxifloxacin,NA,NA,master plate,tube #13,96w_22atb_240710_plate5,B8,Moxifloxacin_5MIC_lab,Moxifloxacin_5MIC_lab,in 0.24mgmL DMSO,DMSO,NA,250,250,NA,0.298930575864844,5,1.49465287932422,0.24mgmL,NA,NA
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240710_plate5,A12,Novobiocin_0.5MIC_lab,Novobiocin_0.5MIC_lab,in 100mM Water,Water,8,7.5,NA,492.5,16,0.5,8,100mM,100,0.9375
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240710_plate5,F5,Novobiocin_10MIC_lab,Novobiocin_10MIC_lab,in 100mM Water,Water,160,160,NA,340,16,10,160,100mM,100,1
