Antibiotic,true_salt,PAST number,Source plate name,Source well,Destination plate name,Destination well,cond,rep,galenique,solvent,theo_transf_vol_nL,transf_vol_nL,compens_dmso_nL,compens_water_nL,MIC (uM),xMIC,Target Concentration (uM),conc_from,conc_from_mm,ratio_reel_theo
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,Selleckchem-L3800-07,G19,96w_22atb_240703_plate4,M24,Moxifloxacin_10MIC,1,in 10mM DMSO,DMSO,14.947,15,475,0,0.298930575864844,10,2.98930575864844,10mM,10,1.0035775
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,Selleckchem-L3800-07,G19,96w_22atb_240703_plate4,J2,Moxifloxacin_1MIC,1,in 10mM DMSO,DMSO,1.495,2.5,487.5,0,0.298930575864844,1,0.298930575864844,10mM,10,0.836314583333332
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,Selleckchem-L3800-07,G19,96w_22atb_240703_plate4,G10,Moxifloxacin_5MIC,1,in 10mM DMSO,DMSO,7.473,7.5,482.5,0,0.298930575864844,5,1.49465287932422,10mM,10,1.0035775
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240703_plate4,D14,Ciprofloxacin_0.5MIC,1,in 10mM DMSO,DMSO,1.886,2.5,487.5,0,0.754498318977745,0.5,0.377249159488872,10mM,10,1.325384
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240703_plate4,B14,Ciprofloxacin_10MIC,1,in 10mM DMSO,DMSO,37.725,37.5,452.5,0,0.754498318977745,10,7.54498318977745,10mM,10,0.994038
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240703_plate4,I17,Ciprofloxacin_1MIC,1,in 10mM DMSO,DMSO,3.772,5,485,0,0.754498318977745,1,0.754498318977745,10mM,10,0.994038
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240703_plate4,A12,Ciprofloxacin_5MIC,1,in 10mM DMSO,DMSO,18.862,20,470,0,0.754498318977745,5,3.77249159488872,10mM,10,0.994038000000002
Amikacin,1.0 Hydroxide,PAST-0137186-001,Selleckchem-L3800-11,G19,96w_22atb_240703_plate4,D15,Amikacin_0.5MIC,1,in 10mM Water,Water,4.269,5,0,495,1.70765027322404,0.5,0.85382513661202,10mM,10,0.878400000000002
Amikacin,1.0 Hydroxide,PAST-0137186-001,Selleckchem-L3800-11,G19,96w_22atb_240703_plate4,P9,Amikacin_10MIC,1,in 10mM Water,Water,85.383,85,0,415,1.70765027322404,10,17.0765027322404,10mM,10,0.995520000000002
Amikacin,1.0 Hydroxide,PAST-0137186-001,Selleckchem-L3800-11,G19,96w_22atb_240703_plate4,A1,Amikacin_1MIC,1,in 10mM Water,Water,8.538,10,0,490,1.70765027322404,1,1.70765027322404,10mM,10,1.0248
