Antibiotic,true_salt,PAST number,Source plate name,Source well,Destination plate name,Destination well,cond,galenique,solvent,theo_transf_vol_nL,transf_vol_nL,compens_dmso_nL,compens_water_nL,MIC (uM),xMIC,Target Concentration (uM),conc_from,conc_from_mm,ratio_reel_theo
Amikacin,1.0 Hydroxide,PAST-0137186-001,Selleckchem-L3800-11,G19,96w_22atb_240703_plate4,H5,Amikacin_1MIC,in 10mM Water,Water,17.0765027322404,17.5,0,482.5,1.70765027322404,1,1.70765027322404,10mM,10,1.0248
Amikacin,1.0 Hydroxide,PAST-0137186-001,Selleckchem-L3800-11,G19,96w_22atb_240703_plate4,G2,Amikacin_5MIC,in 10mM Water,Water,85.382513661202,85,0,415,1.70765027322404,5,8.5382513661202,10mM,10,0.995520000000002
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240703_plate4,D1,Kanamycin_0.5MIC,in 10mM Water,Water,5.15997,5,0,495,1.031994,0.5,0.515997,10mM,10,0.96899788177063
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240703_plate4,D8,Kanamycin_10MIC,in 10mM Water,Water,103.1994,102.5,0,397.5,1.031994,10,10.31994,10mM,10,0.993222828814896
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240703_plate4,C9,Kanamycin_1MIC,in 10mM Water,Water,10.31994,10,0,490,1.031994,1,1.031994,10mM,10,0.96899788177063
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240703_plate4,B9,Kanamycin_5MIC,in 10mM Water,Water,51.5997,52.5,0,447.5,1.031994,5,5.15997,10mM,10,1.01744777585916
Streptomycine,1.5 Sulfuric acid,PAST-0000339-004,Selleckchem-L3800-11,I15,96w_22atb_240703_plate4,B3,Streptomycine_0.5MIC,in 10mM Water,Water,4.29863475360226,5,0,495,0.859726950720451,0.5,0.429863475360226,10mM,10,1.16316
Streptomycine,1.5 Sulfuric acid,PAST-0000339-004,Selleckchem-L3800-11,I15,96w_22atb_240703_plate4,A8,Streptomycine_10MIC,in 10mM Water,Water,85.9726950720451,85,0,415,0.859726950720451,10,8.59726950720451,10mM,10,0.988686
Streptomycine,1.5 Sulfuric acid,PAST-0000339-004,Selleckchem-L3800-11,I15,96w_22atb_240703_plate4,A6,Streptomycine_1MIC,in 10mM Water,Water,8.59726950720451,7.5,0,492.5,0.859726950720451,1,0.859726950720451,10mM,10,0.87237
Streptomycine,1.5 Sulfuric acid,PAST-0000339-004,Selleckchem-L3800-11,I15,96w_22atb_240703_plate4,C5,Streptomycine_5MIC,in 10mM Water,Water,42.9863475360226,42.5,0,457.5,0.859726950720451,5,4.29863475360226,10mM,10,0.988685999999999
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,D5,DMSO_1,NA,DMSO,NA,0,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,A3,DMSO_2,NA,DMSO,NA,0,490,0,NA,NA,NA,NAmM,NA,NA
